dataset,class_idx,class_name,model_a,model_b,n_pair_valid,pair_agreement
BowTurnHead,0,bow-head,Qwen2-VL-7B,LLaVA-1.5-7B,540,45.0
BowTurnHead,0,bow-head,Qwen2-VL-7B,Qwen2.5-VL-7B,536,67.7239
BowTurnHead,0,bow-head,Qwen2-VL-7B,Qwen2.5-VL-32B,536,63.806
BowTurnHead,0,bow-head,Qwen2-VL-7B,Gemma-3-27B,540,62.7778
BowTurnHead,0,bow-head,LLaVA-1.5-7B,Qwen2.5-VL-7B,536,24.8134
BowTurnHead,0,bow-head,LLaVA-1.5-7B,Qwen2.5-VL-32B,536,58.3955
BowTurnHead,0,bow-head,LLaVA-1.5-7B,Gemma-3-27B,540,47.037
BowTurnHead,0,bow-head,Qwen2.5-VL-7B,Qwen2.5-VL-32B,533,57.5985
BowTurnHead,0,bow-head,Qwen2.5-VL-7B,Gemma-3-27B,536,59.5149
BowTurnHead,0,bow-head,Qwen2.5-VL-32B,Gemma-3-27B,536,55.597
BowTurnHead,1,turn-head,Qwen2-VL-7B,LLaVA-1.5-7B,3213,11.5157
BowTurnHead,1,turn-head,Qwen2-VL-7B,Qwen2.5-VL-7B,3210,88.1931
BowTurnHead,1,turn-head,Qwen2-VL-7B,Qwen2.5-VL-32B,3186,67.4827
BowTurnHead,1,turn-head,Qwen2-VL-7B,Gemma-3-27B,3213,76.564
BowTurnHead,1,turn-head,LLaVA-1.5-7B,Qwen2.5-VL-7B,3210,5.4206
BowTurnHead,1,turn-head,LLaVA-1.5-7B,Qwen2.5-VL-32B,3186,35.5618
BowTurnHead,1,turn-head,LLaVA-1.5-7B,Gemma-3-27B,3213,20.5104
BowTurnHead,1,turn-head,Qwen2.5-VL-7B,Qwen2.5-VL-32B,3183,66.1954
BowTurnHead,1,turn-head,Qwen2.5-VL-7B,Gemma-3-27B,3210,78.567
BowTurnHead,1,turn-head,Qwen2.5-VL-32B,Gemma-3-27B,3186,61.0483
HandriseReadWrite,0,hand-raise,Qwen2-VL-7B,LLaVA-1.5-7B,2914,78.2773
HandriseReadWrite,0,hand-raise,Qwen2-VL-7B,Qwen2.5-VL-7B,2894,78.5073
HandriseReadWrite,0,hand-raise,Qwen2-VL-7B,Qwen2.5-VL-32B,2914,81.0226
HandriseReadWrite,0,hand-raise,Qwen2-VL-7B,Gemma-3-27B,2914,75.0172
HandriseReadWrite,0,hand-raise,LLaVA-1.5-7B,Qwen2.5-VL-7B,2894,90.1175
HandriseReadWrite,0,hand-raise,LLaVA-1.5-7B,Qwen2.5-VL-32B,2914,82.464
HandriseReadWrite,0,hand-raise,LLaVA-1.5-7B,Gemma-3-27B,2914,82.2581
HandriseReadWrite,0,hand-raise,Qwen2.5-VL-7B,Qwen2.5-VL-32B,2894,83.3103
HandriseReadWrite,0,hand-raise,Qwen2.5-VL-7B,Gemma-3-27B,2894,82.0663
HandriseReadWrite,0,hand-raise,Qwen2.5-VL-32B,Gemma-3-27B,2914,78.7577
HandriseReadWrite,1,read,Qwen2-VL-7B,LLaVA-1.5-7B,6534,38.7205
HandriseReadWrite,1,read,Qwen2-VL-7B,Qwen2.5-VL-7B,6429,40.7528
HandriseReadWrite,1,read,Qwen2-VL-7B,Qwen2.5-VL-32B,6534,69.1613
HandriseReadWrite,1,read,Qwen2-VL-7B,Gemma-3-27B,6534,48.9899
HandriseReadWrite,1,read,LLaVA-1.5-7B,Qwen2.5-VL-7B,6434,75.9092
HandriseReadWrite,1,read,LLaVA-1.5-7B,Qwen2.5-VL-32B,6539,44.3952
HandriseReadWrite,1,read,LLaVA-1.5-7B,Gemma-3-27B,6539,70.0719
HandriseReadWrite,1,read,Qwen2.5-VL-7B,Qwen2.5-VL-32B,6434,49.3006
HandriseReadWrite,1,read,Qwen2.5-VL-7B,Gemma-3-27B,6434,73.3447
HandriseReadWrite,1,read,Qwen2.5-VL-32B,Gemma-3-27B,6539,54.5955
HandriseReadWrite,2,write,Qwen2-VL-7B,LLaVA-1.5-7B,3393,68.0813
HandriseReadWrite,2,write,Qwen2-VL-7B,Qwen2.5-VL-7B,3374,70.0059
HandriseReadWrite,2,write,Qwen2-VL-7B,Qwen2.5-VL-32B,3393,75.7442
HandriseReadWrite,2,write,Qwen2-VL-7B,Gemma-3-27B,3393,69.5255
HandriseReadWrite,2,write,LLaVA-1.5-7B,Qwen2.5-VL-7B,3375,93.5407
HandriseReadWrite,2,write,LLaVA-1.5-7B,Qwen2.5-VL-32B,3394,74.013
HandriseReadWrite,2,write,LLaVA-1.5-7B,Gemma-3-27B,3394,91.043
HandriseReadWrite,2,write,Qwen2.5-VL-7B,Qwen2.5-VL-32B,3375,76.9481
HandriseReadWrite,2,write,Qwen2.5-VL-7B,Gemma-3-27B,3375,92.7704
HandriseReadWrite,2,write,Qwen2.5-VL-32B,Gemma-3-27B,3394,75.9576
TeacherBehavior,0,guide,Qwen2-VL-7B,LLaVA-1.5-7B,449,72.8285
TeacherBehavior,0,guide,Qwen2-VL-7B,Qwen2.5-VL-7B,449,94.6548
TeacherBehavior,0,guide,Qwen2-VL-7B,Qwen2.5-VL-32B,449,69.4878
TeacherBehavior,0,guide,Qwen2-VL-7B,Gemma-3-27B,449,81.7372
