class_idx,class_name,dataset,model_a,model_b,n_pair_valid,pair_agreement
0,bow-head,BowTurnHead,Qwen2-VL-7B,LLaVA-1.5-7B,540,45.0
0,bow-head,BowTurnHead,Qwen2-VL-7B,Qwen2.5-VL-7B,536,67.7239
0,bow-head,BowTurnHead,Qwen2-VL-7B,Qwen2.5-VL-32B,536,63.806
0,bow-head,BowTurnHead,Qwen2-VL-7B,Gemma-3-27B,540,62.7778
0,bow-head,BowTurnHead,LLaVA-1.5-7B,Qwen2.5-VL-7B,536,24.8134
0,bow-head,BowTurnHead,LLaVA-1.5-7B,Qwen2.5-VL-32B,536,58.3955
0,bow-head,BowTurnHead,LLaVA-1.5-7B,Gemma-3-27B,540,47.037
0,bow-head,BowTurnHead,Qwen2.5-VL-7B,Qwen2.5-VL-32B,533,57.5985
0,bow-head,BowTurnHead,Qwen2.5-VL-7B,Gemma-3-27B,536,59.5149
0,bow-head,BowTurnHead,Qwen2.5-VL-32B,Gemma-3-27B,536,55.597
1,turn-head,BowTurnHead,Qwen2-VL-7B,LLaVA-1.5-7B,3213,11.5157
1,turn-head,BowTurnHead,Qwen2-VL-7B,Qwen2.5-VL-7B,3210,88.1931
1,turn-head,BowTurnHead,Qwen2-VL-7B,Qwen2.5-VL-32B,3186,67.4827
1,turn-head,BowTurnHead,Qwen2-VL-7B,Gemma-3-27B,3213,76.564
1,turn-head,BowTurnHead,LLaVA-1.5-7B,Qwen2.5-VL-7B,3210,5.4206
1,turn-head,BowTurnHead,LLaVA-1.5-7B,Qwen2.5-VL-32B,3186,35.5618
1,turn-head,BowTurnHead,LLaVA-1.5-7B,Gemma-3-27B,3213,20.5104
1,turn-head,BowTurnHead,Qwen2.5-VL-7B,Qwen2.5-VL-32B,3183,66.1954
1,turn-head,BowTurnHead,Qwen2.5-VL-7B,Gemma-3-27B,3210,78.567
1,turn-head,BowTurnHead,Qwen2.5-VL-32B,Gemma-3-27B,3186,61.0483
0,hand-raise,HandriseReadWrite,Qwen2-VL-7B,LLaVA-1.5-7B,2914,78.2773
0,hand-raise,HandriseReadWrite,Qwen2-VL-7B,Qwen2.5-VL-7B,2894,78.5073
0,hand-raise,HandriseReadWrite,Qwen2-VL-7B,Qwen2.5-VL-32B,2914,81.0226
0,hand-raise,HandriseReadWrite,Qwen2-VL-7B,Gemma-3-27B,2914,75.0172
0,hand-raise,HandriseReadWrite,LLaVA-1.5-7B,Qwen2.5-VL-7B,2894,90.1175
0,hand-raise,HandriseReadWrite,LLaVA-1.5-7B,Qwen2.5-VL-32B,2914,82.464
0,hand-raise,HandriseReadWrite,LLaVA-1.5-7B,Gemma-3-27B,2914,82.2581
0,hand-raise,HandriseReadWrite,Qwen2.5-VL-7B,Qwen2.5-VL-32B,2894,83.3103
0,hand-raise,HandriseReadWrite,Qwen2.5-VL-7B,Gemma-3-27B,2894,82.0663
0,hand-raise,HandriseReadWrite,Qwen2.5-VL-32B,Gemma-3-27B,2914,78.7577
